Test Loss,Test MAE
0.0697180032730102,0.087987795472145
0.0544565320014953,0.0754734501242637
0.0815754756331443,0.0850174129009246
0.0821104869246482,0.0952556505799293
0.0559310391545295,0.0793524235486984
0.0747634395956993,0.0946347042918205
0.0658149719238281,0.0840792953968048
0.0518832467496395,0.0847849920392036
0.0528898648917675,0.072940357029438
0.0480191856622695,0.0733865946531295
0.1438552737236023,0.153288334608078
0.0613316893577575,0.082420103251934
0.060306292027235,0.0786834731698036
0.0623426847159862,0.1004466786980629
0.0680167451500892,0.0831171572208404
0.0595009736716747,0.0752977952361106
0.0836919620633125,0.0788756757974624
0.0797934010624885,0.0793355032801628
0.0730524063110351,0.0749170631170272
0.0734717324376106,0.0790318995714187
0.0672438591718673,0.0759300589561462
0.0646522492170333,0.0708686932921409
0.0838200151920318,0.087974689900875
0.067785769701004,0.0798869803547859
0.0718245208263397,0.0759088546037674
0.0502928085625171,0.075102187693119
0.0635518133640289,0.0788265466690063
0.0452857352793216,0.0695535838603973
0.0821368396282196,0.0854528099298477
0.1002345457673072,0.0954674556851387
0.1089513152837753,0.0997090265154838
0.1091929674148559,0.090851329267025
0.0375065468251705,0.0721089318394661
0.1031212955713272,0.0895263850688934
0.0724869519472122,0.0931073129177093
0.0442847609519958,0.0917676985263824
0.0716258883476257,0.0883192345499992
0.0862428694963455,0.0846976339817047
0.1080164164304733,0.1002135127782821
0.0858357325196266,0.0897651240229606
0.0649349316954612,0.0817476361989975
0.0962243378162384,0.0850541815161705
0.072867214679718,0.0856477320194244
0.0758272036910057,0.0781010091304779
0.0820246636867523,0.0852179378271102
0.1064914613962173,0.0941089391708374
0.1063460260629654,0.0906871780753135
0.0844393223524093,0.0863464996218681
0.059465579688549,0.0757520645856857
0.0704392194747924,0.0787770971655845
0.0939875245094299,0.0877266675233841
0.0788350403308868,0.0760516971349716
0.1033826470375061,0.1019559055566787
0.1123445928096771,0.0998465493321418
0.0708741545677185,0.0774920210242271
0.1340242624282837,0.1135425865650177
0.1369072645902633,0.1144820302724838
0.061832420527935,0.1078106760978698
0.1821627467870712,0.2234572619199752
0.163533553481102,0.2330663502216339
0.0764371827244758,0.1013483628630638
0.0802710428833961,0.0925362408161163
0.0992921888828277,0.0976682603359222
0.0473480485379695,0.0815182104706764
0.051564771682024,0.0884233638644218
0.0559521578252315,0.0985611528158187
0.0844250172376632,0.1029982194304466
0.0759734809398651,0.1060723587870597
0.076834462583065,0.095542773604393
0.0718781575560569,0.0965575501322746
0.0952764451503753,0.093872033059597
0.0644561722874641,0.0757837444543838
0.0765683278441429,0.0808249339461326
0.08729999512434,0.0915964767336845
1295.7611083984375,9.840168952941896
107.9582977294922,3.6251754760742174
0.0528242513537406,0.0879980027675628
0.0451493151485919,0.0789171829819679
0.0368855632841587,0.0792828947305679
0.0841062143445015,0.09001542627811432
