Year,avgprice,coalprice,oilprice,gasprice,nuclearprice,hydroprice,windsolarprice,cokebreezeprice
2012,5.3402,2.3737189,0.0507319,1.28752222,1.05148538,0.0320412,0.12602872,0
2013,5.6979,2.39539716,0.04501341,1.35325125,1.18060488,0.03076866,0.1994265,0
2014,5.7807,2.02671342,0.0462456,1.58102145,1.16885754,0.04277718,0.26186571,0
2015,5.5995,1.53930255,0.05095545,1.534263,1.299084,0.04535595,0.3449292,0
2016,4.9484,0.58539572,0.04503044,1.991731,1.1975128,0.03562848,0.31768728,0
2017,5.1803,0.46570897,0.04558664,2.06486758,1.2691735,0.04299649,0.44084353,0
2018,5.6732,0.40166256,0.04652024,2.22729832,1.33206736,0.04425096,0.56675268,0
2019,5.8398,0.1927134,0.04029462,2.43928446,1.25730894,0.05314218,0.68208864,0
2020,5.7856,0.1619968,0.03934208,2.20662784,1.18431232,0.06537728,0.83486208,0
2021,6.7027,0.21046478,0.06568646,2.75346916,1.24804274,0.05831349,0.83180507,0
2022,11.1449,0.28642393,0.11479247,4.54823369,2.12533243,0.09918961,1.65055969,0
